161883,528104.294,30803,32810,32676,32756,32784,32771,100080,7584,7818
161884,528104.304,30786,32813,32695,32754,32782,32768,100080,7584,7816
161885,528104.314,30793,32814,32688,32756,32783,32770,100078,7584,7818
161886,528104.324,30792,32816,32669,32754,32783,32769,100078,7585,7819
161887,528104.334,30792,32820,32699,32755,32782,32770,100078,7585,7820
161888,528104.344,30799,32821,32668,32756,32783,32769,100078,7585,7819
161889,528104.354,30800,32818,32685,32754,32783,32773,100078,7585,7820
161890,528104.364,30796,32816,32681,32756,32783,32769,100078,7586,7820
161891,528104.373,30793,32813,32683,32755,32783,32768,100078,7586,7817
161892,528104.383,30794,32815,32671,32755,32783,32771,100078,7586,7818
161893,528104.394,30795,32814,32683,32755,32782,32769,100079,7586,7819
161894,528104.404,30792,32814,32680,32756,32782,32769,100079,7586,7815
161895,528104.414,30788,32814,32681,32757,32781,32771,100079,7586,7818
161896,528104.424,30786,32817,32680,32757,32781,32771,100079,7583,7819
161897,528104.434,30795,32820,32673,32756,32782,32769,100079,7583,7820
161898,528104.444,30802,32819,32680,32755,32783,32771,100079,7584,7818
161899,528104.453,30793,32821,32681,32756,32782,32770,100082,7584,7820
161900,528104.463,30789,32810,32682,32755,32782,32771,100082,7584,7818
161901,528104.474,30797,32822,32678,32756,32783,32771,100081,7584,7816
161902,528104.484,30788,32811,32676,32757,32783,32769,100081,7584,7819
161903,528104.494,30792,32824,32680,32756,32783,32771,100081,7584,7820
161904,528104.504,30800,32818,32683,32755,32782,32770,100081,7581,7819
161905,528104.514,30793,32816,32682,32756,32783,32769,100080,7581,7820
161906,528104.524,30791,32821,32680,32756,32784,32771,100080,7582,7818
161907,528104.533,30799,32816,32685,32756,32781,32766,100078,7582,7817
161908,528104.543,30789,32815,32674,32755,32783,32771,100078,7583,7819
161909,528104.554,30792,32822,32674,32756,32782,32773,100078,7583,7817
161910,528104.564,30795,32815,32685,32755,32784,32771,100078,7583,7818
161911,528104.574,30799,32816,32683,32756,32783,32768,100078,7583,7819
161912,528104.584,30787,32818,32690,32756,32783,32771,100078,7580,7817
161913,528104.594,30796,32817,32676,32757,32783,32771,100076,7580,7819
161914,528104.604,30795,32820,32678,32754,32784,32770,100076,7581,7819
161915,528104.614,30803,32813,32687,32756,32783,32769,100080,7581,7817
161916,528104.624,30797,32813,32669,32756,32783,32769,100080,7582,7820
161917,528104.633,30805,32812,32680,32755,32783,32770,100078,7582,7819
161918,528104.644,30795,32815,32679,32755,32784,32772,100078,7583,7819
161919,528104.654,30799,32820,32679,32756,32783,32771,100079,7583,7817
161920,528104.664,30798,32820,32676,32755,32783,32771,100079,7583,7817
161921,528104.674,30791,32817,32673,32757,32783,32772,100080,7583,7815
161922,528104.684,30801,32810,32675,32756,32784,32771,100080,7584,7819
161923,528104.694,30798,32818,32685,32758,32783,32772,100080,7584,7817
161924,528104.704,30792,32819,32676,32757,32782,32769,100080,7585,7819
161925,528104.714,30795,32819,32672,32756,32783,32769,100078,7585,7818
161926,528104.723,30793,32815,32686,32758,32783,32773,100078,7585,7819
161927,528104.733,30797,32816,32676,32756,32782,32770,100078,7585,7818
