timestamp(ms),wx,wy,wz,ax,ay,az,temperature
1831776,0.7927,0.7317,0.6098,0.0369,-0.0010,0.9680,42.2
1831786,0.4268,0.4878,0.6098,0.0403,0.0037,0.9653,42.2
1831796,0.5488,0.3049,0.6098,0.0356,-0.0032,0.9785,42.2
1831806,0.6707,0.4268,0.4878,0.0410,-0.0007,0.9719,42.3
1831816,0.8537,0.7927,0.5488,0.0439,0.0017,0.9602,42.3
1831826,0.3659,0.4878,0.5488,0.0393,0.0015,0.9751,42.2
1831836,0.5488,0.5488,0.6707,0.0432,-0.0034,0.9729,42.2
1831846,0.4878,0.3659,0.5488,0.0393,0.0078,0.9651,42.3
1831856,1.2805,0.7317,0.3049,0.0432,0.0002,0.9636,42.2
1831866,0.4878,0.4268,0.5488,0.0425,0.0017,0.9712,42.2
1831876,0.4878,0.6098,0.4268,0.0452,-0.0032,0.9668,42.3
1831886,0.5488,0.4878,0.6098,0.0396,0.0081,0.9709,42.2
1831896,1.0366,0.6098,0.4268,0.0408,-0.0020,0.9624,42.2
1831906,0.6098,0.4878,0.6707,0.0430,0.0020,0.9768,42.3
1831916,0.4268,0.5488,0.7927,0.0417,0.0002,0.9651,42.2
1831926,0.4878,0.4268,0.7927,0.0420,-0.0007,0.9680,42.2
1831936,1.1585,0.7927,0.3049,0.0415,0.0044,0.9626,42.2
1831946,0.4878,0.3659,0.5488,0.0391,-0.0032,0.9685,42.2
1831956,0.4878,0.3659,0.5488,0.0439,-0.0027,0.9666,42.2
1831966,0.4878,0.4878,0.4878,0.0449,0.0051,0.9661,42.2
1831976,0.8537,0.7927,0.3659,0.0337,-0.0005,0.9661,42.2
1831986,0.5488,0.5488,0.4878,0.0415,0.0037,0.9673,42.2
1831996,0.6707,0.3659,0.6098,0.0359,-0.0007,0.9648,42.2
1832006,0.7317,0.3659,0.6707,0.0391,-0.0010,0.9656,42.2
1832016,0.7317,0.7927,0.6098,0.0396,0.0071,0.9707,42.2
1832026,0.5488,0.3659,0.6707,0.0398,0.0134,0.9734,42.2
1832036,0.5488,0.4878,0.6707,0.0386,0.0042,0.9668,42.2
1832046,0.3659,0.4268,0.5488,0.0415,0.0042,0.9712,42.2
1832056,1.1585,0.6098,0.3049,0.0356,0.0090,0.9644,42.2
1832066,0.4878,0.4268,0.4878,0.0425,-0.0010,0.9771,42.2
1832076,0.5488,0.4878,0.5488,0.0398,0.0012,0.9648,42.2
1832086,0.3659,0.3659,0.6098,0.0432,-0.0017,0.9746,42.2
1832096,1.2195,0.6098,0.3049,0.0452,-0.0066,0.9695,42.2
1832106,0.3659,0.4878,0.4878,0.0437,0.0007,0.9712,42.2
1832116,0.6098,0.6098,0.6707,0.0457,0.0034,0.9670,42.2
1832126,0.3659,0.4268,0.5488,0.0476,0.0032,0.9600,42.2
1832136,1.2805,0.6707,0.2439,0.0439,0.0017,0.9653,42.2
1832146,0.4878,0.6098,0.3659,0.0437,0.0044,0.9729,42.2
1832156,0.4878,0.3049,0.4878,0.0459,0.0017,0.9656,42.2
1832166,0.3659,0.4268,0.7317,0.0439,0.0042,0.9624,42.2
1832176,1.2805,0.7927,0.3659,0.0383,-0.0024,0.9729,42.2
1832186,0.4268,0.4268,0.7927,0.0378,-0.0027,0.9663,42.2
1832196,0.4878,0.3659,0.7317,0.0435,-0.0024,0.9678,42.2
1832206,0.4268,0.3659,0.9146,0.0410,-0.0020,0.9731,42.2
1832216,1.2195,0.6707,0.4878,0.0369,0.0046,0.9646,42.3
1832226,0.4878,0.7317,0.7927,0.0356,-0.0022,0.9692,42.3
1832236,0.6098,0.3049,0.6098,0.0391,0.0098,0.9639,42.3
1832246,0.4878,0.4268,0.7927,0.0417,0.0005,0.9661,42.3
