40267.5,12,-6,-3,19,0,-66,-11
40267.6,16,-6,-8,19,0,-66,-11
40267.7,15,-4,-9,19,0,-66,-11
40267.8,18,-6,-4,19,0,-66,-11
40267.9,18,-3,0,19,0,-66,-11
40268.0,17,-6,-9,19,0,-66,-11
40268.1,18,-7,-1,19,0,-66,-11
40268.2,13,-6,-12,19,0,-66,-11
40268.3,17,0,-5,19,0,-66,-11
40268.4,16,-7,-4,19,0,-66,-11
40268.5,14,-1,-10,19,0,-67,-11
40268.6,19,-8,-10,19,0,-67,-11
40268.7,18,-6,-4,19,0,-67,-11
40268.8,18,-7,-8,19,0,-67,-11
40268.9,15,-8,-7,19,0,-67,-11
40269.0,19,-6,-9,19,0,-67,-11
40269.1,20,-2,-9,19,0,-67,-11
40269.2,9,-2,-7,19,0,-67,-11
40269.3,18,-5,-4,19,0,-67,-11
40269.4,21,-5,-9,19,0,-67,-11
40269.5,17,-7,-4,19,0,-67,-11
40269.6,14,-4,-5,19,0,-67,-11
40269.7,17,-6,-7,19,0,-67,-11
40269.8,18,-4,-7,19,0,-67,-11
40269.9,19,-1,-5,19,0,-67,-13
40270.0,136,40,1,19,0,-67,-13
40270.1,16,-21,-6,19,-10,-54,2
40270.2,77,-6,-8,19,-10,-54,2
40270.3,372,-25,-2,19,15,-151,-18
40270.4,273,74,-5,19,-37,-236,-9
40270.5,-704,-115,-15,19,-37,-236,-9
40270.6,-333,-50,12,19,-12,-315,2
40270.7,324,5,-28,20,14,-329,-12
40270.8,469,-24,24,20,14,-329,-12
40270.9,583,3,36,20,9,-316,1
40271.0,613,57,41,20,9,-316,1
40271.1,595,38,39,20,8,-337,-3
40271.2,592,65,46,20,5,-327,-12
40271.3,628,87,49,20,5,-327,-12
40271.4,642,109,58,20,6,-302,-11
40271.5,646,115,76,20,4,-317,-3
40271.6,647,135,79,20,4,-317,-3
40271.7,622,137,96,19,7,-302,-4
40271.8,592,128,97,19,7,-302,-4
40271.9,546,123,106,19,-1,-304,-10
40272.0,479,106,101,19,6,-277,-9
40272.1,387,54,78,19,6,-277,-9
40272.2,300,-7,57,19,12,-282,-15
40272.3,196,-55,53,19,12,-282,-15
40272.4,132,-71,34,19,8,-288,-16
40272.5,88,-55,29,19,13,-264,-1
40272.6,17,-114,10,19,13,-264,-1
40272.7,-44,-119,-10,19,16,-261,-10
40272.8,-135,-141,-42,19,4,-250,0
40272.9,-227,-142,-63,19,4,-250,0
40273.0,-313,-101,-68,19,1,-264,1
40273.1,-405,-61,-69,19,1,-264,1
